Наименование;Артикул;Группа
Болт М8х35 DIN 933 Zn. 8.8;Пи-Ст-Б.шг.М8х35;стандартное изделие
болт со срывной головкой;Пи-Б;стандартное изделие
Болт шестигранный М8х65 8.8 DIN 933;Пи-Ст-Б.шг.М8х65;стандартное изделие
винт с потайной головкой и внутренним шестигранником М6х16;Пи-Ст-В.пг.внш.М6х16;стандартное изделие
винт с потайной головкой и внутренним шестигранником М8х20;Пи-Ст-В.пг.внш.М8х20;стандартное изделие
винт с цилиндрической головкой и внyтренним шестигранником М6х12;Пи-Ст-В.цг.внш.М6х12;стандартное изделие
винт с цилиндрической головкой и внетренним шестигранником М6х20;#00066;стандартное изделие
винт с цилиндрической головкой и внутренним шестигранником М6х10;Пи-Ст-В.цг.внш.М6х10;стандартное изделие
винт с цилиндрической головкой и внутренним шестигранником М6х16;Пи-Ст-В.цг.внш.М6х16;стандартное изделие
винт с цилиндрической головкой и внутренним шестигранником М6х20;Пи-Ст-В.цг.внш.М6х20;стандартное изделие
винт с шестигранной головкой М10х25;Пи-Ст-В.шг.М10х25;стандартное изделие
Винт самонарезной М6х12 DIN7500C полуцилиндр гол.оцинк.TORX;Пи-Ст-В.сам.пцг.torx.М6х12;стандартное изделие
Винт самонарезной М6х12 DIN7500М потай гол. оцинк. TORX;Пи-Ст-В.сам.пг.torx.М6х12;стандартное изделие
Втулка;ВТ_кап;покупное изделие
гайка с фланцем М6;Пи-Ст-Г.ф.М6;стандартное изделие
гайка с фланцем М8;Пи-Ст-Г.ф.М8;стандартное изделие
гайка шестигранная М10;Пи-Ст-Г.М10;стандартное изделие
гайка шестигранная М12 кл.пр.8;Пи-Ст-Г.М12.8.8;стандартное изделие
"Герметик полиуретановый ""Соудал ""Соудафлекс 40 FC"" 600 мл, серый";М-Гер;материал
герметичный ввод;Пи-Герм.В;покупное изделие
Демпфер 20-30мм 4мм;Дем.20-30мм 4мм;деталь
Демпфер 25-35мм;Дем.25-35мм;деталь
Демпфер 25-35мм 8мм;Дем.25-35мм 8мм;деталь
держатель гайки;Пи-Деж.Г;покупное изделие
Заклепка вытяжная AFT 4,8х12 мм Алюм/Сталь станд.бортик (0,5/5,0zac) ZAC;Пи-Ст-Зк.выт.4.8х12;стандартное изделие
Заклепка резьбовая М6/045 рифленая, сталь, потайной бортик, на 1,5–4,5 мм;Пи-Ст-Зк.рез.М6/045;стандартное изделие
изолятор 1600 крайний;Пи-Изол.1600.кр;покупное изделие
изолятор 1600 средний;Пи-Изол.1600.ср;покупное изделие
